Stations_id;Beginn;Ende;Anzahl_Jahre;Fehl_Jahre;Fehl_Werte;max(Fehl_Zeitraum)>=25;Stationsname;eor;
1346;01.01.1949;31.01.2014;65.13;.45;166;-;Feldberg/Schwarzwald;eor;
4275;01.01.1946;17.01.2011;65.09;4.96;1809;-;Rotenburg(Wümme);eor;
2039;01.01.1947;31.12.2011;65.04;2.67;974;-;Harzburg,Bad;eor;
4651;01.01.1947;31.12.2011;65.04;.16;60;-;Seesen;eor;
2497;01.01.1947;31.12.2011;65.04;.75;274;-;Kall-Sistig;eor;
555;01.01.1947;31.12.2011;65.04;32.69;11933;-;Bochum;eor;
5009;01.01.1947;31.12.2011;65.04;9.63;3515;-;Teterow;eor;
3612;01.01.1947;31.12.2011;65.04;.17;61;-;Nienburg;eor;
5100;01.01.1951;08.11.2015;64.9;.1;38;-;Trier-Petrisberg;eor;
232;01.01.1949;15.09.2013;64.75;.24;88;-;Augsburg;eor;
1612;01.01.1952;31.05.2016;64.46;.01;4;-;Gera-Leumnitz;eor;
427;01.01.1957;25.04.2021;64.36;;;-;BerlinBrandenburg;eor;
5717;01.01.1948;31.12.2011;64.04;;;-;Wuppertal-Buchenhofen;eor;
1300;01.01.1948;31.12.2011;64.04;4.42;1613;-;Eslohe;eor;
1468;01.01.1949;31.12.2012;64.04;1.44;526;-;Freudenstadt;eor;
3023;01.01.1951;30.09.2014;63.79;.04;16;-;Lingen;eor;
2667;01.09.1957;25.04.2021;63.69;;;-;Köln-Bonn;eor;
